event_id,disaster_type,location,latitude,longitude,date,severity_level,affected_population,estimated_economic_loss_usd,response_time_hours,aid_provided,infrastructure_damage_index,is_major_disaster
626,Wildfire,Chile,-33.78495346426182,-71.26950078012474,2024-10-25,9,34616.289659755945,2742146.586024956,53.34842161859848,No,1.8218735891794684,True
9692,Wildfire,Chile,-35.58822938786643,-68.40346677013497,2024-12-12,8,37061.23323033981,3606955.254298865,74.06987280861789,Yes,0.75,True
1763,Wildfire,Chile,-36.34136866031584,-72.6371477130432,2025-08-14,10,48781.48496441594,6632158.41624031,7.486822401304417,No,0.74,True
10643,Wildfire,Chile,-36.291129222204624,-73.34774959335755,2024-10-05,9,42401.30972304992,11380594.473261433,54.45193441723019,No,0.63,True
3465,Wildfire,Chile,-35.88384299934193,-69.66840719845855,2023-07-08,8,38264.54320502471,4818739.651583164,33.588161118918926,Yes,6.385096816581602,True
3250,Wildfire,Chile,-39.95229465323597,-71.3303698221535,2023-10-14,9,55541.970342288325,4336862.342333376,33.451054846868786,Yes,0.4741030410912415,True
12865,Wildfire,Chile,-34.652382296246664,-70.15532708998462,2024-08-21,7,54259.99437339195,3699097.7796463408,19.405700137928658,Yes,1.2226568005865066,True
19736,Wildfire,Chile,-33.59037910155513,-71.8019967563176,2023-04-14,7,30107.815600423346,9048454.667179674,8.17903300652232,Yes,0.74,True
15682,Wildfire,Chile,-32.39564462235745,-72.26461500305335,2025-05-18,8,45841.323236960474,9196596.577381756,62.1578341408098,Yes,0.73,True
16850,Wildfire,Chile,-34.987913812942566,-71.08054041165856,2024-06-09,8,41399.12587782121,2653463.8474031687,29.23755337537466,Yes,0.84,True
10292,Wildfire,Chile,-35.783263886475375,-72.12276818733386,2024-07-14,7,28258.624052174604,10206275.30839208,46.42614373065141,No,1.0758340741254628,True
14375,Wildfire,Chile,-36.980449527090144,-73.55882510747205,2024-07-27,10,39719.30109448898,8801243.68145353,71.46619636095924,No,3.119025043115901,True
17492,Wildfire,Chile,-36.58546331931901,-70.87622789562901,2023-10-20,10,59886.09292129792,8983826.214182165,29.67473546250118,Yes,1.373918031843545,True
1045,Wildfire,Chile,-39.81680001586558,-71.30620133302072,2025-08-20,8,42025.403318709046,13134878.708100269,4.718543016980763,Yes,0.85,True
18400,Wildfire,Chile,-36.14815030665476,-69.08227113740588,2023-02-11,10,53833.51817109723,7102130.436966609,69.09073303799015,No,2.079168775430734,True
10611,Wildfire,Chile,-31.5943046011616,-68.6714243000353,2024-01-18,8,61117.15851733327,6570857.895275522,53.079422747623106,Yes,6.615532505891418,True
12613,Wildfire,Chile,-38.01460309270029,-72.41545567050757,2023-12-08,7,25645.602232569192,6933105.394604108,17.645445426111987,Yes,2.962885717792633,True
15323,Wildfire,Chile,-32.44612133176591,-71.76516503539,2024-01-05,9,58973.77488673198,3806606.2116036173,22.20398938241092,Yes,0.62,True
11166,Wildfire,Chile,-33.58544271115518,-70.14251732130478,2023-12-12,9,45938.472368381714,12433705.133585207,31.918199807660876,No,1.0,True
3847,Wildfire,Chile,-37.59716121619194,-69.89519543328451,2023-05-16,9,49524.248800115354,4314647.498523791,10.362883144405743,Yes,0.98,True
9223,Wildfire,Chile,-38.77719647602864,-69.27647562284417,2024-12-20,8,31027.02174924775,2268256.172347486,1.8144317518406412,Yes,0.73,True
4502,Wildfire,Chile,-36.37801672994184,-74.67793108503416,2023-01-28,9,46344.87660280427,9479622.14451119,24.39395660392659,Yes,1.9238039818705257,True
1,Wildfire,Chile,-34.681671693977535,-71.81952860234237,2025-08-27,8,28281.941057575026,3565223.7708050627,5.387959862335985,Yes,1.7998962291553582,True
6277,Wildfire,Chile,-34.84365647089404,-71.11713454105951,2024-08-08,7,27891.730111011286,5340781.23998967,48.765472491626774,Yes,3.4307770696616964,True
5241,Wildfire,Chile,-36.02648088577802,-77.37377960896384,2023-04-29,9,31823.550861963882,3688671.962105332,6.179669310355502,Yes,0.6,True
14230,Wildfire,Chile,-36.46799491665647,-70.80431423277336,2025-04-12,8,52248.97785354259,3246033.4353772355,62.99918559759676,Yes,0.45,True
10440,Wildfire,Chile,-39.11545726825297,-69.31070194561104,2024-04-07,8,43907.845441812344,11683876.336802443,37.60676118615494,No,1.0270054794818013,True
