Age,Gender,Sleep_Hours,Phone_Checks_Per_Day,Apps_Used_Daily,Phone_Usage_Purpose,Avg_Usage_Hours,Mental_Health_Issue_Level,Productive_Hours,No_Productive_Time,Addiction_Level
16,Male,6.7,85,6,Other,3.5,5.333333333333333,1.15,1.65,2
19,Other,6.6,91,20,Education,5.3,6.0,1.25,1.65,3
15,Female,8.9,131,7,Browsing,4.233333333333333,4.0,2.05,2.1,3
14,Female,6.9,60,10,Gaming,5.3,7.0,0.05,1.8,3
19,Other,5.5,68,18,Gaming,3.266666666666667,2.0,1.05,1.9,3
14,Female,4.8,64,19,Other,3.066666666666667,5.0,0.85,2.75,3
19,Female,7.2,146,17,Browsing,4.633333333333333,5.0,0.2,2.65,3
19,Other,8.2,73,19,Education,5.033333333333333,3.6666666666666665,0.5,1.9,3
14,Male,5.2,96,13,Education,4.8,4.333333333333333,0.65,2.9000000000000004,3
18,Other,5.8,90,15,Other,4.1000000000000005,5.333333333333333,0.9,1.5499999999999998,3
13,Female,5.2,75,5,Other,4.866666666666666,2.6666666666666665,1.45,2.7,3
13,Male,8.0,22,14,Browsing,4.366666666666666,3.6666666666666665,1.1,1.3,2
19,Female,7.5,75,8,Other,4.466666666666668,6.0,0.9500000000000001,2.65,3
18,Female,3.4,87,9,Education,4.3,6.0,0.9,0.05,2
16,Male,4.8,96,16,Gaming,5.633333333333333,6.666666666666667,1.05,3.05,3
13,Other,8.5,25,10,Other,2.8666666666666667,5.666666666666667,1.4,1.95,2
15,Male,6.6,50,6,Gaming,4.333333333333333,5.333333333333333,1.45,0.85,2
14,Female,5.2,104,8,Social Media,4.466666666666667,5.666666666666667,0.95,2.15,3
17,Male,6.5,109,18,Education,4.333333333333333,3.6666666666666665,1.45,2.75,3
13,Other,7.3,29,6,Social Media,3.1666666666666665,1.3333333333333333,0.9,2.0,2
14,Other,6.0,122,20,Social Media,3.3000000000000003,7.0,0.3,1.2999999999999998,3
19,Other,7.6,37,11,Education,5.566666666666667,2.0,1.2,1.2999999999999998,2
18,Male,7.0,77,13,Browsing,3.766666666666667,6.666666666666667,1.75,1.35,2
19,Other,5.8,149,20,Education,3.966666666666667,5.666666666666667,1.4500000000000002,2.35,3
16,Female,6.3,58,12,Social Media,5.066666666666666,8.666666666666666,1.1,1.7999999999999998,3
14,Male,4.0,146,14,Other,5.733333333333333,2.3333333333333335,1.4,2.1,3
17,Male,5.8,40,20,Browsing,5.033333333333333,5.666666666666667,1.75,2.7,3
17,Female,7.6,61,10,Social Media,5.566666666666666,3.3333333333333335,1.35,1.1,3
15,Female,5.7,35,6,Social Media,3.1,7.0,1.1,1.7,2
14,Other,5.1,117,16,Education,3.0666666666666664,4.0,0.1,1.9,3
16,Other,5.8,58,14,Other,4.6000000000000005,5.0,0.15000000000000002,1.5499999999999998,3
13,Male,6.2,43,8,Other,3.5666666666666664,4.333333333333333,0.65,1.5,2
17,Male,5.8,37,17,Social Media,4.866666666666666,4.0,0.8,3.25,3
16,Other,9.1,64,12,Gaming,4.366666666666666,5.666666666666667,1.1,1.5,2
18,Other,5.7,104,10,Social Media,3.1,4.0,1.25,2.35,3
16,Other,6.1,119,15,Social Media,3.8333333333333335,5.333333333333333,1.95,2.3,3
15,Other,4.5,32,10,Education,4.666666666666667,6.333333333333333,0.65,1.6,2
14,Female,6.5,121,6,Other,6.033333333333334,5.333333333333333,0.35,1.75,3
13,Female,4.0,53,16,Other,4.366666666666667,3.3333333333333335,1.45,2.0,3
13,Female,5.4,38,13,Social Media,4.6000000000000005,5.0,0.3,1.65,3
16,Female,6.0,118,18,Browsing,4.966666666666667,6.666666666666667,1.1,1.85,3
19,Male,8.0,53,11,Social Media,5.433333333333334,3.3333333333333335,0.75,3.05,3
18,Other,7.7,107,18,Gaming,3.1999999999999997,9.0,0.5,1.7,3
13,Other,6.1,95,11,Social Media,3.733333333333333,7.666666666666667,0.44999999999999996,2.25,3
19,Other,6.0,20,19,Gaming,3.7999999999999994,6.666666666666667,0.8,2.8499999999999996,3
16,Female,6.3,138,6,Browsing,5.533333333333334,4.666666666666667,1.45,2.25,3
18,Other,7.5,82,16,Other,3.033333333333333,3.3333333333333335,0.35,1.7,3
17,Other,5.0,81,8,Education,6.5,5.333333333333333,1.1,2.05,3
15,Female,5.8,120,6,Browsing,3.1,9.333333333333334,0.65,0.95,2
15,Other,6.7,54,5,Gaming,4.1000000000000005,5.666666666666667,1.05,3.0,3
17,Other,5.4,137,17,Other,5.966666666666666,6.333333333333333,1.6,1.1,3
15,Female,5.7,85,15,Social Media,4.566666666666666,4.333333333333333,1.4,2.8,3
16,Female,5.1,81,17,Gaming,4.0,6.0,0.95,2.25,3
18,Female,6.3,44,19,Browsing,3.6,8.0,1.55,2.55,3
16,Male,6.9,70,7,Gaming,4.433333333333334,6.0,0.8,2.3,3
18,Female,7.7,83,11,Social Media,4.333333333333333,7.0,2.75,1.5,3
18,Male,5.4,42,19,Gaming,4.833333333333333,5.666666666666667,1.25,1.5999999999999999,3
18,Female,4.2,127,20,Other,3.1999999999999997,5.333333333333333,0.85,2.2,3
19,Male,6.9,135,10,Other,2.1999999999999997,7.666666666666667,0.95,2.3,2
15,Other,8.6,141,13,Browsing,3.966666666666667,5.666666666666667,1.15,1.4,3
15,Female,6.8,31,13,Other,3.1,5.333333333333333,1.0,2.35,3
17,Female,6.6,74,13,Browsing,4.466666666666667,5.333333333333333,0.5,2.25,3
16,Female,6.9,67,20,Browsing,4.366666666666667,4.333333333333333,0.9500000000000001,0.9,3
15,Male,8.9,51,15,Browsing,2.5,5.333333333333333,1.35,2.1999999999999997,2
17,Male,5.5,136,8,Education,3.3000000000000003,8.0,0.44999999999999996,1.2000000000000002,3
16,Female,5.3,90,10,Browsing,4.5,6.666666666666667,1.6,2.15,3
16,Other,10.0,134,18,Social Media,4.7,3.3333333333333335,1.2,1.2000000000000002,3
18,Other,6.2,76,17,Social Media,3.1666666666666665,3.6666666666666665,1.0,1.5,2
15,Other,5.8,143,19,Gaming,3.5333333333333337,6.666666666666667,0.5,2.85,3
15,Male,6.1,85,19,Other,2.966666666666667,8.333333333333334,0.25,1.8,3
16,Female,6.3,76,17,Education,4.566666666666666,4.666666666666667,0.9500000000000001,1.9,3
16,Other,5.9,69,6,Social Media,3.6,6.333333333333333,1.3,1.9,2
