id,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,time_signature,type1,uri,track_href,analysis_url,class
52Mclc4OjcfWvFl7UL8miX,The Hills Of Ireland,Celtic Woman,0.248,0.546,11,-9.591,0,0.0748,0.832,0.000327,0.064,0.662,73.065,3.2007806810000003,4,audio_features,spotify:track:52Mclc4OjcfWvFl7UL8miX,https://api.spotify.com/v1/tracks/52Mclc4OjcfWvFl7UL8miX,https://api.spotify.com/v1/audio-analysis/52Mclc4OjcfWvFl7UL8miX,yes
5dXieBLFFUDG5tCTs4eCAb,Walk Beside Me,Celtic Woman,0.515,0.183,1,-12.614,1,0.0277,0.835,1.72e-06,0.124,0.15,98.952,4.252318378,3,audio_features,spotify:track:5dXieBLFFUDG5tCTs4eCAb,https://api.spotify.com/v1/tracks/5dXieBLFFUDG5tCTs4eCAb,https://api.spotify.com/v1/audio-analysis/5dXieBLFFUDG5tCTs4eCAb,yes
3GHWScApxbXmNopwKIlMfS,Like An Angel Passing Through My Room,Celtic Woman,0.292,0.0802,0,-14.435,1,0.0335,0.984,0.00697,0.0988,0.191,97.34,5.267622017000001,4,audio_features,spotify:track:3GHWScApxbXmNopwKIlMfS,https://api.spotify.com/v1/tracks/3GHWScApxbXmNopwKIlMfS,https://api.spotify.com/v1/audio-analysis/3GHWScApxbXmNopwKIlMfS,yes
4dvyIYRaZ0RFmn9ApWTCwU,When You Go,Celtic Woman,0.55,0.572,2,-7.715,1,0.0296,0.0328,0.0,0.423,0.697,95.988,3.4862197230000005,4,audio_features,spotify:track:4dvyIYRaZ0RFmn9ApWTCwU,https://api.spotify.com/v1/tracks/4dvyIYRaZ0RFmn9ApWTCwU,https://api.spotify.com/v1/audio-analysis/4dvyIYRaZ0RFmn9ApWTCwU,yes
4EH5q3H8IML9zFITI2igOC,Westering Home,Celtic Woman,0.381,0.357,5,-10.498,1,0.0333,0.471,0.0,0.106,0.437,113.294,4.007363479,4,audio_features,spotify:track:4EH5q3H8IML9zFITI2igOC,https://api.spotify.com/v1/tracks/4EH5q3H8IML9zFITI2igOC,https://api.spotify.com/v1/audio-analysis/4EH5q3H8IML9zFITI2igOC,yes
4Fge3caJzss3mKMVtbehur,Bean Pháidín,Celtic Woman,0.624,0.395,9,-10.363,0,0.161,0.418,0.0,0.0707,0.147,110.044,3.5065701300000005,4,audio_features,spotify:track:4Fge3caJzss3mKMVtbehur,https://api.spotify.com/v1/tracks/4Fge3caJzss3mKMVtbehur,https://api.spotify.com/v1/audio-analysis/4Fge3caJzss3mKMVtbehur,yes
1C3cHftfOvHgpPehwkzIq3,Sometimes A Prayer Will Do,Celtic Woman,0.285,0.247,0,-9.857,1,0.0324,0.802,3.4e-06,0.103,0.109,132.687,4.674360152,4,audio_features,spotify:track:1C3cHftfOvHgpPehwkzIq3,https://api.spotify.com/v1/tracks/1C3cHftfOvHgpPehwkzIq3,https://api.spotify.com/v1/audio-analysis/1C3cHftfOvHgpPehwkzIq3,yes
38Q5JKMcmMZ0VTeklj1R6t,Óró sé do bheatha 'bhaile,Celtic Woman,0.619,0.637,1,-7.37,0,0.023,0.604,0.0,0.189,0.801,96.08,3.209747527,4,audio_features,spotify:track:38Q5JKMcmMZ0VTeklj1R6t,https://api.spotify.com/v1/tracks/38Q5JKMcmMZ0VTeklj1R6t,https://api.spotify.com/v1/audio-analysis/38Q5JKMcmMZ0VTeklj1R6t,yes
6obm5ubZCFaxTw44EonarI,Tír na nÓg,Celtic Woman,0.488,0.815,2,-6.944,1,0.0583,0.218,0.0,0.338,0.497,189.773,3.1454629080000003,4,audio_features,spotify:track:6obm5ubZCFaxTw44EonarI,https://api.spotify.com/v1/tracks/6obm5ubZCFaxTw44EonarI,https://api.spotify.com/v1/audio-analysis/6obm5ubZCFaxTw44EonarI,yes
2bPfi2jGyVPXeNwrBcFXIs,I See Fire,Celtic Woman,0.507,0.22,0,-12.307,0,0.0347,0.807,0.0,0.0991,0.219,151.866,5.127785887000001,4,audio_features,spotify:track:2bPfi2jGyVPXeNwrBcFXIs,https://api.spotify.com/v1/tracks/2bPfi2jGyVPXeNwrBcFXIs,https://api.spotify.com/v1/audio-analysis/2bPfi2jGyVPXeNwrBcFXIs,yes
2WQ4s7VUTkqHfZF9t1mbEr,How Can I Keep From Singing,Celtic Woman,0.268,0.0943,5,-16.811,1,0.0387,0.965,7.98e-05,0.104,0.152,138.022,4.295685912000001,5,audio_features,spotify:track:2WQ4s7VUTkqHfZF9t1mbEr,https://api.spotify.com/v1/tracks/2WQ4s7VUTkqHfZF9t1mbEr,https://api.spotify.com/v1/audio-analysis/2WQ4s7VUTkqHfZF9t1mbEr,yes
