Wife's age,Wife's education,Husband's education,Number of children ever born,Wife's religion,Wife's now working?,Husband's occupation,Standard-of-living index,Media exposure,Contraceptive method used
24,High School,Intermediate,3,Islam,No,Area 2,Considerable,Good,No-use
45,Primary,Intermediate,10,Islam,No,Area 3,High,Good,No-use
43,High School,Intermediate,7,Islam,No,Area 3,High,Good,No-use
42,Intermediate,High School,9,Islam,No,Area 3,Considerable,Good,No-use
36,Intermediate,Intermediate,8,Islam,No,Area 3,Moderate,Good,No-use
19,University,University,0,Islam,No,Area 3,Considerable,Good,No-use
38,High School,Intermediate,6,Islam,No,Area 3,Moderate,Good,No-use
21,Intermediate,Intermediate,1,Islam,Yes,Area 3,Moderate,Good,No-use
27,High School,Intermediate,3,Islam,No,Area 3,High,Good,No-use
45,Primary,Primary,8,Islam,No,Area 2,Moderate,Not good,No-use
,Primary,Intermediate,2,Islam,Yes,Area 3,Considerable,Not good,No-use
,Primary,University,4,Islam,No,Area 1,Considerable,Good,No-use
,University,University,1,Islam,Yes,Area 1,High,Good,No-use
,High School,University,1,Islam,Yes,Area 3,Considerable,Good,No-use
38,Intermediate,University,2,Islam,No,Area 2,Considerable,Good,No-use
26,High School,University,0,Islam,No,Area 4,Low,Good,No-use
48,Primary,Primary,7,Islam,No,Area 2,High,Good,No-use
39,High School,High School,6,Islam,No,Area 2,High,Good,No-use
37,High School,High School,8,Islam,No,Area 2,Considerable,Good,No-use
39,High School,Primary,,Islam,No,Area 2,Low,Not good,No-use
26,Intermediate,University,,Islam,Yes,Area 4,Low,Good,No-use
24,Intermediate,University,,Islam,Yes,Area 3,Low,Good,No-use
46,University,University,,Non-Islam,No,Area 1,High,Good,No-use
39,University,University,1,Islam,No,Area 1,High,Good,No-use
48,University,University,5,Islam,No,Area 1,High,Good,No-use
40,High School,University,8,Islam,No,Area 3,Considerable,Good,No-use
38,University,University,1,Islam,Yes,Area 1,High,Good,No-use
29,University,University,0,Islam,Yes,Area 1,High,Good,No-use
24,University,University,0,Islam,Yes,Area 2,Moderate,Good,No-use
43,Primary,High School,8,Islam,No,Area 2,High,Good,No-use
31,Intermediate,University,2,Islam,No,Area 1,High,Good,No-use
31,University,University,2,Islam,No,Area 3,Moderate,Good,No-use
26,High School,University,0,Islam,Yes,Area 1,Moderate,Good,No-use
33,High School,High School,2,Islam,No,Area 3,Low,Good,No-use
24,High School,Intermediate,1,Islam,No,Area 3,Considerable,Good,No-use
42,Primary,Intermediate,9,Islam,No,Area 3,Moderate,Not good,No-use
43,Primary,High School,8,Islam,Yes,Area 3,Low,Good,No-use
25,Intermediate,Intermediate,4,Islam,No,Area 3,Moderate,Good,No-use
42,High School,High School,3,Islam,No,Area 3,High,Good,No-use
28,High School,High School,1,Islam,No,Area 2,High,Good,No-use
28,Primary,Primary,3,Islam,No,Area 3,Low,Good,No-use
47,High School,Intermediate,0,Islam,Yes,Area 1,Considerable,Good,No-use
48,High School,University,2,Islam,No,Area 1,Considerable,Good,No-use
40,University,University,2,Non-Islam,No,Area 1,High,Good,No-use
28,High School,High School,1,Islam,No,Area 3,Moderate,Good,No-use
25,Primary,University,1,Islam,No,Area 2,Low,Good,No-use
32,University,University,2,Islam,No,Area 2,Considerable,Good,No-use
45,University,University,0,Islam,No,Area 2,High,Good,No-use
26,University,University,1,Islam,No,Area 1,High,Good,No-use
26,University,University,0,Islam,Yes,Area 1,High,Good,No-use
31,University,University,0,Islam,Yes,Area 1,High,Good,No-use
49,University,University,7,Non-Islam,No,Area 2,High,Good,No-use
40,Intermediate,University,8,Islam,No,Area 3,Considerable,Good,No-use
34,University,University,1,Non-Islam,Yes,Area 2,Considerable,Good,No-use
36,High School,University,5,Islam,No,Area 2,Considerable,Good,No-use
20,High School,High School,2,Islam,No,Area 2,Moderate,Not good,No-use
43,University,University,5,Islam,Yes,Area 1,High,Good,No-use
37,Intermediate,University,7,Islam,No,Area 2,Low,Good,No-use
21,High School,Intermediate,0,Islam,No,Area 3,High,Good,No-use
49,University,University,6,Islam,No,Area 1,Moderate,Good,No-use
42,Intermediate,Intermediate,10,Islam,No,Area 3,Considerable,Good,No-use
20,High School,Intermediate,1,Islam,No,Area 2,Considerable,Good,No-use
47,Primary,High School,2,Islam,Yes,Area 1,Considerable,Good,No-use
22,High School,Intermediate,1,Islam,No,Area 2,Low,Good,No-use
27,High School,University,1,Islam,Yes,Area 1,Considerable,Good,No-use
24,High School,University,1,Islam,No,Area 3,Low,Good,No-use
44,University,High School,8,Islam,No,Area 3,Considerable,Good,No-use
30,High School,Intermediate,3,Islam,No,Area 3,Low,Good,No-use
23,Intermediate,University,2,Islam,No,Area 3,High,Good,No-use
25,University,University,1,Islam,Yes,Area 3,Considerable,Good,No-use
47,High School,Intermediate,4,Islam,No,Area 2,Considerable,Good,No-use
48,High School,Intermediate,8,Islam,No,Area 1,High,Good,No-use
29,High School,Intermediate,1,Islam,No,Area 1,Low,Good,No-use
29,High School,Intermediate,1,Islam,No,Area 1,Moderate,Good,No-use
21,Intermediate,University,0,Islam,No,Area 2,Considerable,Good,No-use
21,Intermediate,University,1,Islam,No,Area 2,Considerable,Good,No-use
29,University,University,0,Islam,Yes,Area 2,High,Good,No-use
45,Intermediate,University,3,Islam,No,Area 1,High,Good,No-use
33,High School,Intermediate,2,Islam,No,Area 3,Moderate,Good,No-use
38,University,University,1,Islam,Yes,Area 1,High,Good,No-use
24,University,University,0,Non-Islam,No,Area 1,High,Good,No-use
49,University,University,6,Non-Islam,Yes,Area 1,High,Good,No-use
24,High School,University,1,Islam,Yes,Area 4,High,Good,No-use
28,University,University,0,Non-Islam,Yes,Area 1,High,Good,No-use
30,University,University,2,Islam,No,Area 1,High,Good,No-use
33,University,University,2,Islam,No,Area 1,High,Good,No-use
25,University,University,1,Islam,No,Area 1,Considerable,Good,No-use
35,University,University,3,Non-Islam,No,Area 1,High,Good,No-use
27,High School,University,4,Islam,No,Area 1,High,Good,No-use
24,High School,High School,3,Islam,Yes,Area 2,Low,Good,No-use
25,High School,Intermediate,0,Islam,No,Area 2,Low,Good,No-use
46,High School,University,6,Islam,No,Area 1,High,Good,No-use
26,High School,High School,3,Islam,No,Area 2,Low,Good,No-use
38,High School,High School,1,Islam,Yes,Area 3,Moderate,Good,No-use
47,Primary,High School,3,Islam,No,Area 1,Considerable,Good,No-use
41,Primary,Intermediate,10,Islam,No,Area 2,Considerable,Not good,No-use
41,High School,Intermediate,1,Islam,Yes,Area 2,Considerable,Good,No-use
28,University,University,5,Islam,No,Area 2,Low,Good,No-use
17,High School,High School,3,Islam,No,Area 3,Low,Good,No-use
27,High School,Intermediate,5,Islam,No,Area 2,Low,Good,No-use
27,Primary,High School,4,Islam,No,Area 3,Low,Not good,No-use
19,High School,Intermediate,0,Islam,Yes,Area 2,Moderate,Good,No-use
27,High School,University,3,Islam,Yes,Area 3,Moderate,Good,No-use
26,University,Intermediate,4,Islam,No,Area 2,Considerable,Good,No-use
23,High School,University,2,Islam,No,Area 3,Considerable,Good,No-use
40,Intermediate,Intermediate,3,Islam,No,Area 3,Moderate,Good,No-use
22,University,University,0,Islam,No,Area 1,Low,Good,No-use
44,Intermediate,University,4,Islam,Yes,Area 1,Considerable,Good,No-use
29,High School,Intermediate,2,Islam,No,Area 3,Low,Good,No-use
26,High School,Intermediate,3,Islam,No,Area 3,Low,Good,No-use
45,University,University,1,Islam,Yes,Area 3,Considerable,Good,No-use
32,Intermediate,Intermediate,7,Islam,Yes,Area 2,Considerable,Good,No-use
21,University,University,1,Islam,No,Area 1,High,Good,No-use
31,High School,High School,4,Islam,No,Area 3,Considerable,Good,No-use
21,Intermediate,University,0,Islam,No,Area 1,Considerable,Good,No-use
37,University,University,1,Islam,No,Area 1,High,Good,No-use
34,University,University,3,Non-Islam,Yes,Area 3,Considerable,Good,No-use
44,Intermediate,University,1,Islam,No,Area 1,Considerable,Good,No-use
49,University,Intermediate,5,Islam,No,Area 2,Considerable,Good,No-use
26,High School,Intermediate,2,Islam,No,Area 3,Considerable,Good,No-use
38,Primary,High School,1,Islam,No,Area 2,High,Not good,No-use
36,High School,Intermediate,5,Islam,No,Area 2,Considerable,Good,No-use
26,Intermediate,University,2,Islam,No,Area 3,Considerable,Good,No-use
20,High School,Intermediate,1,Non-Islam,No,Area 3,Moderate,Good,No-use
44,High School,Primary,3,Islam,Yes,Area 3,Moderate,Good,No-use
31,Intermediate,University,2,Islam,No,Area 1,Moderate,Not good,No-use
45,University,University,1,Islam,No,Area 1,Considerable,Good,No-use
36,High School,Intermediate,2,Islam,No,Area 3,Moderate,Not good,No-use
43,Primary,Intermediate,2,Islam,Yes,Area 2,Moderate,Not good,No-use
25,Intermediate,University,0,Islam,No,Area 1,Considerable,Good,No-use
48,Intermediate,University,3,Islam,No,Area 3,Low,Good,No-use
30,University,University,0,Non-Islam,Yes,Area 1,Considerable,Good,No-use
48,Primary,High School,8,Islam,No,Area 3,Low,Good,No-use
28,Intermediate,University,1,Islam,No,Area 3,Low,Not good,No-use
26,University,University,1,Islam,No,Area 1,Considerable,Good,No-use
26,Intermediate,Intermediate,3,Islam,Yes,Area 2,High,Good,No-use
24,University,University,2,Islam,No,Area 3,Considerable,Good,No-use
21,Intermediate,Intermediate,2,Islam,No,Area 2,Moderate,Good,No-use
30,University,University,2,Non-Islam,No,Area 3,Low,Good,No-use
20,University,University,1,Islam,No,Area 1,High,Good,No-use
33,University,University,2,Islam,No,Area 1,Considerable,Good,No-use
30,University,University,0,Non-Islam,Yes,Area 3,Considerable,Good,No-use
47,University,University,1,Islam,Yes,Area 1,Considerable,Good,No-use
35,University,University,2,Non-Islam,No,Area 3,Considerable,Good,No-use
30,High School,University,2,Islam,No,Area 3,High,Good,No-use
33,University,University,3,Islam,No,Area 1,High,Good,No-use
45,University,University,4,Islam,No,Area 2,Considerable,Good,No-use
41,University,University,2,Islam,No,Area 1,High,Good,No-use
32,University,University,1,Islam,Yes,Area 1,Considerable,Good,No-use
43,University,University,5,Islam,No,Area 1,High,Good,No-use
44,University,University,3,Islam,No,Area 2,High,Good,No-use
21,Primary,Intermediate,4,Islam,No,Area 3,Moderate,Good,No-use
44,Intermediate,University,2,Islam,No,Area 1,High,Not good,No-use
23,University,University,2,Islam,No,Area 2,High,Good,No-use
47,Primary,High School,4,Islam,No,Area 2,Moderate,Good,No-use
47,Primary,Primary,7,Islam,No,Area 2,Considerable,Not good,No-use
35,University,University,2,Islam,Yes,Area 2,High,Good,No-use
32,High School,University,4,Islam,No,Area 3,Moderate,Good,No-use
45,Primary,University,5,Islam,No,Area 1,Moderate,Not good,No-use
22,High School,High School,2,Islam,No,Area 3,Low,Good,No-use
23,Primary,Primary,3,Islam,No,Area 2,Low,Not good,No-use
30,University,University,0,Islam,Yes,Area 1,High,Good,No-use
44,Primary,Intermediate,0,Islam,No,Area 2,Considerable,Good,No-use
40,Intermediate,Intermediate,1,Islam,Yes,Area 3,Considerable,Good,No-use
34,University,University,4,Islam,No,Area 2,Considerable,Good,No-use
37,Intermediate,University,1,Islam,No,Area 2,High,Good,No-use
49,Intermediate,University,5,Islam,No,Area 1,High,Good,No-use
26,University,University,1,Islam,No,Area 1,High,Good,No-use
22,University,University,0,Islam,No,Area 2,High,Good,No-use
20,Intermediate,University,0,Islam,Yes,Area 2,High,Good,No-use
47,University,University,4,Islam,No,Area 1,High,Good,No-use
49,High School,High School,8,Islam,Yes,Area 3,Low,Good,No-use
22,High School,University,1,Islam,No,Area 2,High,Good,No-use
22,Intermediate,Intermediate,2,Islam,No,Area 3,High,Good,No-use
25,Intermediate,High School,2,Islam,No,Area 3,Moderate,Good,No-use
32,High School,University,0,Islam,Yes,Area 3,High,Good,No-use
28,University,University,0,Non-Islam,No,Area 1,Considerable,Good,No-use
30,High School,University,4,Islam,Yes,Area 1,High,Good,No-use
45,High School,University,2,Islam,Yes,Area 2,High,Good,No-use
49,High School,Primary,10,Islam,Yes,Area 2,High,Good,No-use
34,University,University,2,Islam,Yes,Area 1,High,Good,No-use
25,High School,University,1,Islam,No,Area 2,Moderate,Good,No-use
42,Primary,Intermediate,12,Islam,No,Area 3,Considerable,Good,No-use
48,High School,Primary,3,Islam,Yes,Area 4,Considerable,Good,No-use
35,Intermediate,University,5,Islam,Yes,Area 2,Moderate,Good,No-use
